RANKING,NIT,RAZON_SOCIAL,CODIGO_DEPARTAMENTO,DEPARTAMENTO,CODIGO_MUNICIPIO,MUNICIPIO,CIIU,DESCRIPCION_CIIU,AÑOS_EMPRESA,ACTIVOS_2023,PASIVOS_2023,PATRIMONIO_2023,INGRESOS_OPERACIONALES_2023,UTILIDAD_2023,ACTIVOS_2022,PASIVOS_2022,PATRIMONIO_2022,INGRESOS_OPERACIONALES_2022,UTILIDAD_2022,DIRECCION,TELEFONO,CELULAR,EMAIL,SUPERVISOR
11,800153993,COMUNICACIÓN CELULAR S.A.,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",6120,Actividades de telecomunicaciones inalámbricas,31.876796714579054,24027129176000.0,13854214499000.0,10172914677000.0,14854583980000.0,1408971270000.0,23428698444000.0,14671477099000.0,8757221345000.0,14626791424000.0,1787125988000.0,CARRERA 68 A 24 B 10 Torre 1,7429797,3102419937,notificacionesclaro@claro.com.co,SUPERSOCIEDADES
12,900480569,JERONIMO MARTINS COLOMBIA SAS,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",12.098562628336756,7157245450000.0,7031102248000.0,126143202000.0,12352070906000.0,-659212268000.0,5204082100000.0,5100290834000.0,103791266000.0,8625936384000.0,-230627340000.0,CL 100 No 7 - 33,7965170,3202947438,anderson.pinilla@jeronimo-martins.com,SUPERSOCIEDADES
13,800088702,COMPAÑÍA SURAMERICANA DE SERVICIOS DE SALUD S.A.  SUSALUD MEDICINA PREPAGADA,05,ANTIOQUIA,05001,MEDELLÍN,8430,Actividades de planes de seguridad social de afiliación obligatoria,,2183288414000.0,2179088392000.0,4200022000.0,11408074842000.0,-221506463000.0,2102883671000.0,1865879227000.0,237004444000.0,9301370503000.0,-137265174000.0,,,,,SUPERSALUD
14,890900943,COLOMBIANA DE COMERCIO SA,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4741,"Comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados",70.9596167008898,5160566054000.0,2833074409000.0,2327491645000.0,11147235067000.0,276256151000.0,6138487564000.0,3959421561000.0,2179066003000.0,11136219136000.0,341933571000.0,CALLE 11 NO 31 A 42,3649777,3152856818,legal@corbeta.com.co,SUPERSOCIEDADES
15,900818921,KOPPS COMMERCIAL S.A.S,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4632,Comercio al por mayor de bebidas y tabaco,8.88432580424367,5738266679000.0,4605941837000.0,1132324842000.0,10793868691000.0,940513570000.0,5050402999000.0,3982211747000.0,1068191252000.0,9656847360000.0,876379980000.0,CRA 53A 127 35,6389000,0,notificaciones@ab-inbev.com,SUPERSOCIEDADES
16,800251440,ENTIDAD PROMOTORA DE SALUD SANITAS S.A.S,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",8430,Actividades de planes de seguridad social de afiliación obligatoria,,2686151829000.0,2754925372000.0,-68773543000.0,10623424223000.0,-146384599000.0,2469215720000.0,2392859500000.0,76356220000.0,8720528385000.0,-295367732000.0,,,,,SUPERSALUD
17,900531210,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS SAS,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4930,Transporte por tuberías,11.542778918548938,19592595355000.0,2980905574000.0,16611689781000.0,9938690377000.0,4706946799000.0,19560762130000.0,2347611733000.0,17213150397000.0,8532791296000.0,4584955981000.0,CALLE 113 # 7- 80 PISOS 12 Y 13,3198800,3214911629,notificacionesjudiciales@cenit-transporte.com,SUPERSOCIEDADES
18,860002554,PRIMAX COLOMBIA,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4661,"Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",68.52566735112936,2037978253000.0,1492867255000.0,545110998000.0,9045379712000.0,88139470000.0,1743772612000.0,1273542653000.0,470229959000.0,7719190710000.0,48134787000.0,CALLE 90 # 19C - 32,6280460,3142868739,NOTIFICACIONES@PRIMAX.COM.CO,SUPERFINANCIERA
19,860005224,BAVARIA & CIA S.C.A,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",1103,"Producción de malta, elaboración de cervezas y otras bebidas malteadas",93.24024640657085,12011076327000.0,9294528503000.0,2716547824000.0,8012943062000.0,2086546783000.0,10684176799000.0,7529982785000.0,3154194014000.0,6958538752000.0,1715346644000.0,CRA 53 A 127 - 35,6389000,0,NOTIFICACIONES@AB-INBEV.COM,SUPERSOCIEDADES
20,890107487,SUPERTIENDAS Y DROGUERIAS OLIMPICA S.A,08,ATLÁNTICO,08001,BARRANQUILLA,4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",46.13826146475017,5554379071000.0,3465514811000.0,2088864260000.0,7882552389000.0,52183266000.0,5301217222000.0,3277813292000.0,2023403930000.0,7784681984000.0,141530285000.0,CALLE 53 No 46-192 local 301,3710350,3007445861,iosorio@olimpica.com.co,SUPERSOCIEDADES
21,860069804,CARBONES DEL CERREJON LIMITED ,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",0510,Extracción de hulla (carbón de piedra),48.90075290896646,9233137698000.0,4282535705000.0,4950601993000.0,7468899608000.0,257259608000.0,10449666144000.0,8998960404000.0,1450705740000.0,16387614720000.0,6049034719000.0,Cra 15 # 91-46 Piso 7,6015955555,6015955555,notificaciones.judiciales@cerrejon.com,SUPERSOCIEDADES
22,800130907,SALUD TOTAL EPS-S S.A.,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",8430,Actividades de planes de seguridad social de afiliación obligatoria,,3206215487000.0,2851057088000.0,355158399000.0,7278770047000.0,101756291000.0,3223520331000.0,2809580907000.0,413939424000.0,6210633722000.0,173249492000.0,,,,,SUPERSALUD
23,830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P. - TELEFONICA,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",6110,Actividades de telecomunicaciones alámbricas,,13437988055000.0,9450391664000.0,3987596391000.0,7118438366000.0,-680807983000.0,14825057738000.0,10070668612000.0,4754389126000.0,7859523104000.0,-69917413000.0,,,,,SUPERFINANCIERA
24,900585067,"C.I. TRAFIGURA PETROLEUM COLOMBIA S.A.S,",11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4661,"Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",10.954140999315538,612017655000.0,585394629000.0,26623026000.0,6334806765000.0,2282725000.0,942675552000.0,911708201000.0,30967351000.0,6574016512000.0,-25233903000.0,CARRERA 11 NO. 82 01 CENTRO DE NEGOCIOS ANDINO OFICINA 701,7420910,6017420910,contactotrafiguracolombia@trafigura.com,SUPERSOCIEDADES
25,800251163,OLEODUCTO CENTRAL S.A.,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4930,Transporte por tuberías,29.0403832991102,7014519635000.0,3087230169000.0,3927289466000.0,6142918256000.0,2967870892000.0,8706108057000.0,3827821807000.0,4878286250000.0,5516384654000.0,2837708095000.0,CRA 11 No 84-09 PISO 10,3250200,3124574459,notificaciones.judiciales@ocensa.com.co,SUPERSOCIEDADES
26,901380930,AIR-E S.A.S. E.S.P.,08,ATLÁNTICO,08001,BARRANQUILLA,3514,Comercialización de energía eléctrica,,4425581420000.0,2207223537000.0,2218357883000.0,6113150804000.0,122379805000.0,4146405469000.0,2048510175000.0,2097895294000.0,4727220423000.0,-38286814000.0,,,,,SUPERSERVICIOS
27,901380949,CARIBEMAR DE LA COSTA S.A.S. E.S.P.,13,BOLÍVAR,13001,CARTAGENA DE INDIAS,3514,Comercialización de energía eléctrica,,6234075847000.0,2488658233000.0,3745417614000.0,5960456035000.0,264781612000.0,4587804060000.0,1697588675000.0,2890215385000.0,5414020711000.0,619127177000.0,,,,,SUPERSERVICIOS
28,800242106,SODIMAC COLOMBIA SA,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4774,Comercio al por menor de otros productos nuevos en establecimientos especializados,,4026519000000.0,2363910000000.0,1662609000000.0,5769458000000.0,306727000000.0,3786886680000.0,2336036602000.0,1450850078000.0,5989577114000.0,310517085000.0,,,,,SUPERFINANCIERA
29,860005223,CHEVRON PETROLEUM COMPANY,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4661,"Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",,1518165000000.0,1436396000000.0,81769000000.0,5720906000000.0,12764000000.0,1446996000000.0,1367923000000.0,79073000000.0,4471729000000.0,-58420000000.0,,,,,SUPERFINANCIERA
30,811000740,ISAGEN S.A. E.S.P.,05,ANTIOQUIA,05001,MEDELLÍN,3511,Generación de energía eléctrica,,23578804000000.0,18149732000000.0,5429072000000.0,5530344000000.0,1035150000000.0,23808061967000.0,18243715599000.0,5564346368000.0,4822071366000.0,1233837910000.0,,,,,SUPERFINANCIERA
31,800249860,CELSIA COLOMBIA S.A. E.S.P. ANTES EMPRESA DE ENERGIA DEL PACIFICO S.A. E.S.P.- EPSA,76,VALLE DEL CAUCA,76892,YUMBO,3513,Distribución de energía eléctrica,,12271384000000.0,7553085000000.0,4718299000000.0,5478062000000.0,441875000000.0,11113986133000.0,6629732419000.0,4484253714000.0,4922173762000.0,474917038000.0,,,,,SUPERFINANCIERA
32,900331322,VERANO ENERGY (SWITZERLAND) AG SUCURSAL,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",0610,Extracción de petróleo crudo,14.020533880903491,11413262802000.0,7380185512000.0,4033077290000.0,5407525470000.0,478527332000.0,12249502781000.0,9464388794000.0,2785113987000.0,4721135104000.0,778050430000.0,CL 113 7 21 T A OF 611,6291716,3228546605,notificacionesjudiciales@parexresources.com,SUPERSOCIEDADES
33,860066942,CAJA DE COMPENSACION FAMILIAR COMPENSAR,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",7010,Actividades de administración empresarial,,2195760000000.0,1732694000000.0,463066000000.0,5225245000000.0,-32401692000.0,1907401150000.0,1410041553000.0,497359597000.0,4416464722000.0,-133641330000.0,,,,,SUPERSALUD
34,800149695,DROGUERIAS Y FARMACIAS CRUZ VERDE SAS,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4773,"Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",32.11225188227242,3462428224000.0,2818043072000.0,644385152000.0,5149466005000.0,-53135854000.0,2863658935000.0,2424137929000.0,439521006000.0,4275086080000.0,27412539000.0,CARRERA 12 # 96-32,4924860,3175729910,josem.rodriguez@cruzverde.com.co,SUPERSOCIEDADES
35,890912462,TAMPA CARGO S.A.S,05,ANTIOQUIA,05615,RIONEGRO,5111,Transporte aéreo nacional de pasajeros,,2381678954401.0,1735866078688.0,645812875713.0,4900955310786.0,-247736313383.0,2664344878308.0,1574196981217.0,1090147897091.0001,5095669711856.0,123869279397.0,,,,,SUPERTRANSPORTE
36,890903858,INDUSTRIA NACIONAL DE GASEOSAS S.A.,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",1104,"Elaboración de bebidas no alcohólicas, producción de aguas minerales y otras aguas embotelladas",83.31827515400411,2849512934000.0,2062853650000.0,786659284000.0,4879121916000.0,-44515646000.0,2337074952000.0,1481208738000.0,855866214000.0,4045274112000.0,43758801000.0,AK 96 24 C 94,4011400,3108525972,notificaciones@kof.com.mx,SUPERSOCIEDADES
37,900226715,COOPERATIVA EMPRESA SOLIDARIA DE SALUD Y DESARROLLO INTEGRAL 'COOSALUD E.S.S.',13,BOLÍVAR,13001,CARTAGENA DE INDIAS,8430,Actividades de planes de seguridad social de afiliación obligatoria,,1066681574000.0,843225411000.0,223456163000.0,4841487360000.0,-33813752000.0,1124036218000.0,793036019000.0,331000199000.0,4079289327000.0,124041552000.0,,,,,SUPERSALUD
38,830003564,FAMISANAR  LTDA.  CAFAM - COLSUBSIDIO E.P.S.,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",8430,Actividades de planes de seguridad social de afiliación obligatoria,,974434438000.0,2506631362000.0,-1532196924000.0,4809843158000.0,-460563653000.0,947006741000.0,2037515701000.0,-1090508960000.0,3969011928000.0,-703417806000.0,,,,,SUPERSALUD
39,830126302,FRONTERA ENERGY COLOMBIA CORP SUCURSAL COLOMBIA,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",0610,Extracción de petróleo crudo,20.366872005475702,7345255877000.0,1955773166000.0,5389482711000.0,4609881028000.0,580458521000.0,8703437712000.0,2068665707000.0,6634772005000.0,5154382848000.0,1621189291000.0,Calle 110 # 9 - 25 Piso 15,5112000,3166676662,notificaciones@fronteraenergy.ca,SUPERSOCIEDADES
40,890704196,AEROVIAS DE INTEGRACION REGIONAL S.A.,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",5111,Transporte aéreo nacional de pasajeros,,1071289585000.0,1048045467000.0,23244118000.0,4494186582000.0,-26792532000.0,941581823000.0,1435241345000.0,-493659522000.0,3425809138000.0,-371844061000.0,,,,,SUPERTRANSPORTE
41,900155107,CENCOSUD COLOMBIA S.A.,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",16.57221081451061,5663373589000.0,1685264770000.0,3978108819000.0,4425317092000.0,-4709772000.0,5807530543000.0,1824711952000.0,3982818591000.0,4637372416000.0,-8003611000.0,AVENIDA 9 No 125 30,6016579797,3208504585,notificaciones@cencosud.com.co,SUPERSOCIEDADES
42,900780510,AUTOMOTORES TOYOTA COLOMBIA SAS,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4511,Comercio de vehículos automotores nuevos,9.292265571526352,809220780000.0,550685462000.0,258535318000.0,4163255418000.0,213636142000.0,673230085000.0,481399624000.0,191830461000.0,3577610752000.0,150359180000.0,CR 9A 99 02 OF 602,3168307582,3168307582,NOTIFICACIONESTOYOTA@TOYOTA.COM.CO,SUPERSOCIEDADES
43,816001182,AUDIFARMA SA,66,RISARALDA,66001,PEREIRA,4645,"Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",27.345653661875428,3205359398000.0,3032497818000.0,172861580000.0,4056909941000.0,19011780000.0,2402561248000.0,2201912017000.0,200649231000.0,3498356224000.0,48564571000.0,CALLE 105 14 140,3137800,3113297625,contabilidad@audifarma.com.co,SUPERSOCIEDADES
44,806008394,ASOCIACIÓN MUTUAL SER EMPRESA SOLIDARIA DE SALUD ESS,13,BOLÍVAR,13001,CARTAGENA DE INDIAS,8430,Actividades de planes de seguridad social de afiliación obligatoria,,577898109000.0,467161174000.0,110736935000.0,3882970098000.0,-99485987000.0,661077246000.0,450998663000.0,210078583000.0,3365271496000.0,1761175000.0,,,,,SUPERSALUD
45,800007813,VANTI S.A. ESP,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",3520,Producción de gas; distribución de combustibles gaseosos por tuberías,,1912289235000.0,1233376382000.0,678912853000.0,3825745676000.0,440218003000.0,1820520757000.0,1231842015000.0,588678742000.0,3373951694000.0,349097602000.0,,,,,SUPERSERVICIOS
46,800245746,TERMOBARRANQUILLA S.A. E.S.P.,08,ATLÁNTICO,08758,SOLEDAD,3511,Generación de energía eléctrica,,3327164740000.0,2065352868000.0,1261811872000.0,3771230360000.0,638251767000.0,3418673587000.0,1861682740000.0,1556990847000.0,2651245053000.0,424593391000.0,,,,,SUPERSERVICIOS
47,830136799,BIOMAX BIOCOMBUSTIBLES S.A.,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4661,"Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",19.84120465434634,1580336163000.0,1036302854000.0,544033309000.0,3763632392000.0,70001853000.0,1470026227000.0,995994772000.0,474031455000.0,3085213184000.0,76370897000.0,Carrera 14 99-33 Piso 9,3798000,3208386465,juridico@biomax.co,SUPERSOCIEDADES
48,860016610,INTERCONEXIÓN ELÉCTRICA S.A. E.S.P. - ISA,05,ANTIOQUIA,05001,MEDELLÍN,3512,Transmisión de energía eléctrica,,24737995000000.0,8447198000000.0,16290797000000.0,3743386000000.0,2457768000000.0,25492438679000.0,7042194930000.0,18450243749000.0,3317125713000.0,2191592152000.0,,,,,SUPERFINANCIERA
49,899999082,GRUPO ENERGÍA DE BOGOTÁ S.A. E.S.P.,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",3512,Transmisión de energía eléctrica,,29181733000000.0,10273461000000.0,18908272000000.0,3705547000000.0,2592744000000.0,31508589983000.0,11006075769000.0,20502514214000.0,3589320654000.0,2852794940000.0,,,,,SUPERFINANCIERA
50,860026895,ITALCOL SA,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",1090,Elaboración de alimentos preparados para animales,53.86447638603696,942808241000.0,477047443000.0,465760798000.0,3666597014000.0,121244137000.0,1020132336000.0,649343789000.0,370788547000.0,3439412224000.0,61613241000.0,CALLE 94A 11A 73 PISO 4,4221360,3166944945,esteliaruiz@italcol.com,SUPERSOCIEDADES
51,890901271,CONTEGRAL S.A.S.,05,ANTIOQUIA,05266,ENVIGADO,1090,Elaboración de alimentos preparados para animales,72.28473648186174,1172245760000.0,580565829000.0,591679931000.0,3661018816000.0,150761927000.0,1296578796000.0,781151802000.0,515426994000.0,3522269184000.0,108294131000.0,CARRERA 48 27A SUR 89,4035030,3104264137,CONTEGRAL@CONTEGRAL.CO,SUPERSOCIEDADES
52,830078038,CERREJON ZONA NORTE S.A.,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",0510,Extracción de hulla (carbón de piedra),23.186858316221766,5642769399000.0,1211030326000.0,4431739073000.0,3549559437000.0,748592787000.0,7950000492000.0,3357147221000.0,4592853271000.0,7196638720000.0,2838090163000.0,Cra 15 # 91-46 Piso 7,5955555,5715955555,notificaciones.judiciales@cerrejon.com,SUPERSOCIEDADES
53,811009788,DISTRACOM S.A,05,ANTIOQUIA,05001,MEDELLÍN,4731,Comercio al por menor de combustible para automotores,26.67214236824093,1652330678000.0,656282841000.0,996047837000.0,3383799821000.0,67135526000.0,1476181132000.0,548456792000.0,927724340000.0,2758663936000.0,101682336000.0,CALLE 51 # 64B 27,2601669,3145161368,notificacionesjudiciales@distracom.com.co,SUPERSOCIEDADES
54,890399003,EMPRESAS MUNICIPALES DE CALI   E.I.C.E  E.S.P,76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,3514,Comercialización de energía eléctrica,,8438826564000.0,4142336216000.0,4296490348000.0,3331972578000.0,87036032000.0,8271138833000.0,3953877421000.0,4317261412000.0,3051173190000.0,304831555000.0,,,,,SUPERSERVICIOS
55,830028931,SAMSUNG ELECTRONICS COLOMBIA S.A.,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4652,"Comercio al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones",26.781656399726216,1398163523000.0,1112931357000.0,285232166000.0,3126228485000.0,34042150000.0,1869313056000.0,1618123040000.0,251190016000.0,4343339008000.0,33132770000.0,Carrera 7 # 113-43 of 607,6014870707,3143515410,ja.rojas@samsung.com,SUPERSOCIEDADES
56,900493698,GEOPARK COLOMBIA SAS,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",0610,Extracción de petróleo crudo,11.945242984257359,3966439830000.0,1643348456000.0,2323091374000.0,3042745811000.0,822824629000.0,4604080508000.0,2529365524000.0,2074714984000.0,4143545856000.0,1208723951000.0,CALLE 94 11 30 P 8,7432337,3125223987,CO.NOTIFICACIONESJUDICIALES@GEO-PARK.COM,SUPERSOCIEDADES
57,890300466,TECNOQUIMICAS S.A.,76,VALLE DEL CAUCA,76001,SANTIAGO DE CALI,4669,Comercio al por mayor de otros productos n.c.p.,66.55167693360711,4106765381000.0,1351150129000.0,2755615252000.0,3039820490000.0,278417207000.0,3599846749000.0,1077509109000.0,2522337640000.0,2821366272000.0,400110240000.0,CALLE 23 NRO 7 39,8825555,6028825555,notificacionesgrupotq@tecnoquimicas.com,SUPERSOCIEDADES
58,830025205,AES CHIVOR & CIA SCA ESP,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",3511,Generación de energía eléctrica,,3023758435000.0,1734937483000.0,1288820952000.0,3004342481000.0,665438526000.0,3853691214000.0,2715940137000.0,1137751077000.0,1780365970000.0,543147121000.0,,,,,SUPERSERVICIOS
59,900646156,TRAFIGURA MARKETING COLOMBIA S.A.S E.S.P,11,"BOGOTÁ, D.C.",11001,"BOGOTÁ, D.C.",4661,"Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",10.376454483230663,525567426000.0,506185416000.0,19382010000.0,2984832831000.0,85737108000.0,1002481605000.0,1073443000000.0,-70961395000.0,2766176256000.0,-37556466000.0,CR 11 No. 82 01 P7 CN ANDINO,7420910,6017420910,tax.colombia@trafigura.com,SUPERSOCIEDADES
60,890304130,ALIMENTOS CARNICOS S.A.S,05,ANTIOQUIA,05001,MEDELLÍN,1011,Procesamiento y conservación de carne y productos cárnicos,55.36208076659822,2664296967000.0,1583831135000.0,1080465832000.0,2938125856000.0,95423153000.0,3039439247000.0,1649513379000.0,1389925868000.0,2784753920000.0,157273066000.0,Cra 40 Nro 12A13,4311000,3136183387,correspondenciasnch.domesa@serviciosnutresa.com,SUPERSOCIEDADES
61,890903939,POSTOBON S.A.,05,ANTIOQUIA,05001,MEDELLÍN,1104,"Elaboración de bebidas no alcohólicas, producción de aguas minerales y otras aguas embotelladas",90.11909650924025,3511322755000.0,2005566771000.0,1505755984000.0,2937383558000.0,46202119000.0,3429540528000.0,1972250187000.0,1457290341000.0,2602702336000.0,9011334000.0,CALLE 52 N° 47-42 PISO 25,5765100,3008543336,gaseosaspostobon@postobon.com.co,SUPERSOCIEDADES
62,890100251,CEMENTOS ARGOS S.A,08,ATLÁNTICO,08001,BARRANQUILLA,2394,"Fabricación de cemento, cal y yeso",,14507203000000.0,5748283000000.0,8758920000000.0,2904319000000.0,319976000000.0,17446378296000.0,6146289376000.0,11300088920000.0,2482821091000.0,142228298000.0,,,,,SUPERFINANCIERA
63,860001697,GASEOSAS LUX SAS,05,ANTIOQUIA,05001,MEDELLÍN,1104,"Elaboración de bebidas no alcohólicas, producción de aguas minerales y otras aguas embotelladas",51.7782340862423,2058143000000.0,1192713000000.0,865430000000.0,2866414000000.0,91682000000.0,2070495000000.0,1105884000000.0,964611000000.0,2549967872000.0,92757000000.0,CALLE 52 47-42 PISO 32,5765100,3126808132,jcordero@postobon.com.co,SUPERSOCIEDADES
64,900935126,ASMET SALUD EPS SAS,19,CAUCA,19001,POPAYÁN,8430,Actividades de planes de seguridad social de afiliación obligatoria,,255496855000.0,1155289238000.0,-899792383000.0,2845615924000.0,-128032216000.0,269850512000.0,1042567200000.0,-772716688000.0,2487591496000.0,-29178318000.0,,,,,SUPERSALUD
